,bank,card,act
233,"{'國泰': 1, '台新': 1, '中信': 1}",{},"{'機票': 4, '出國': 2, '旅遊': 3, '機場': 4, '國外': 1}"
234,{},{},{}
235,{},{},{}
236,{},{},{}
237,"{'兆豐': 2, '台新': 5, '玉山': 2}",{},{'機場': 6}
238,"{'兆豐': 9, '台新': 1, '玉山': 1}",{},{'機場': 5}
239,"{'兆豐': 2, '台新': 3, '玉山': 2}",{},{'機場': 8}
240,{},{},{'威秀': 3}
241,{},{},{'電影': 1}
242,"{'兆豐': 5, '台新': 3}",{},{}
243,"{'兆豐': 9, '國泰世華': 1, '中信': 1, '玉山': 1}",{},{}
244,{},{},{'海外': 2}
245,"{'中信': 1, '台新': 1, '國泰世華': 1, '玉山': 1}",{},{'保費': 1}
246,{},{},{}
247,{},{},{}
248,"{'玉山': 1, '台新': 7, 'Richart': 1, '兆豐': 3}",{'Pi': 1},{'國外': 2}
249,{},{},{}
250,{},{},{}
251,{},{},{}
252,"{'兆豐': 6, '中信': 1}",{},"{'旅遊': 2, '海外': 3, '機票': 1, '機場': 2, '出國': 2, '旅平險': 1}"
253,{},{},{}
254,{},{},{}
255,"{'中信': 6, '國泰世華': 1, '玉山': 3}",{'Pi': 3},{'海外': 1}
256,"{'中信': 2, '國泰世華': 1, '國泰': 2, '玉山': 1}",{},"{'機場': 1, '威秀': 1, '旅遊': 1, '國外': 1, '機票': 1, '海外': 1}"
257,{'兆豐': 12},{},{}
258,{'兆豐': 5},{},{'運動': 2}
259,"{'國泰': 4, '國泰世華': 5}",{},{}
260,"{'玉山': 4, '台新': 1, '中信': 1, '國泰世華': 1, '永豐': 1, '兆豐': 1}",{},"{'出國': 5, '國外': 3}"
261,{},{},{}
262,{},{},{}
263,"{'國泰世華': 1, '國泰': 2}",{},"{'機場': 1, '威秀': 1, '旅遊': 1, '國外': 1, '機票': 1}"
264,{'永豐': 1},{},{}
265,{},{},{'旅遊': 2}
266,{},{},{}
267,"{'兆豐': 7, '國泰世華': 3, '台新': 5}",{},{'海外': 1}
268,{'台新': 5},{},{}
269,{},{},"{'海外': 1, '旅遊': 1}"
270,{'國泰': 13},{},"{'機票': 1, '旅行': 2}"
271,{},{},{}
272,{},{},{'國外': 1}
273,{},{},"{'旅遊': 4, '旅行': 1}"
274,{'兆豐': 3},{},"{'旅平險': 2, '保險': 1}"
275,{},{},{}
276,"{'兆豐': 2, '中信': 1, '台新': 1, '永豐': 1, '國泰世華': 1}",{},{}
277,{},{},{}
278,{},{},{}
279,{},{},{}
280,{},{},{}
281,{},{},"{'出國': 1, '旅遊': 1}"
282,"{'台新': 1, '國泰世華': 1}",{},{}
283,{},{},"{'旅遊': 1, '飯店': 1}"
284,{},{},{'運動': 1}
285,{'中信': 1},{},{}
286,{'兆豐': 1},{},"{'旅遊': 5, '出國': 1, '國外': 2, '海外': 7}"
287,{},{},{}
