,bank,card,act
1039,中國信託,,中油
1040,,,旅遊
1041,,,海外
1042,,,出國
1043,,,機場
1044,,,
1045,,,機場
1046,玉山,,出國
1047,,拍,電影
1048,,,機場
1049,,,
1050,,,機場
1051,,,威秀
1052,,,出國
1053,,,海外
1054,,,
1055,,,飯店
1056,,,國外
1057,,,
1058,,,機場
1059,,,機票
1060,,,機票
1061,,,機場
1062,,,出國
1063,,,威秀
1064,,,機場
1065,,,機場
1066,,,電影
1067,,,
1068,台新,Pi,
1069,,,運動
1070,,,
1071,,,加油
1072,,,保險
1073,中信,,國外
1074,,,旅遊
1075,,,出國
1076,,,機場
1077,,,海外
1078,,,機場
1079,玉山,Pi,出國
1080,,,加油
1081,,,機場
1082,,,飯店
1083,,,旅遊
1084,,,旅行
1085,中信,,
1086,,,
1087,,,旅行
1088,,,機場
1089,,,威秀
1090,中信,,海外
1091,,,海外
1092,,,電影
1093,,,旅遊
1094,,,旅遊
1095,,,
1096,,,出國
1097,,,機場
1098,,,
1099,,,
1100,,,機場
1101,中信,,
1102,,,機票
1103,,,加油
1104,,,機票
1105,,,機票
1106,永豐,拍,海外
1107,,,
1108,,,
1109,,,機場
1110,,,
1111,,,保費
1112,,,旅遊
1113,KOKO,,國賓
1114,,,
1115,,,
1116,,,
1117,,,
1118,永豐,拍,海外
1119,,,出國
1120,,,機場
1121,,,電影
1122,,,運動
1123,,,海外
1124,國泰世華,,
1125,,,
1126,,,
1127,,,
1128,,,保險
1129,國泰世華,,出國
1130,永豐,,威秀
1131,,,保險
1132,,,
1133,,拍,
1134,,,保險
1135,,,海外
1136,,,
1137,,,旅遊
1138,,,旅遊
1139,,,旅遊
1140,,,保險
1141,,,機場
1142,,,加油
1143,,,
1144,,,旅行
1145,,,威秀
1146,,,威秀
1147,台新,,海外
1148,,,電影
1149,,御璽,機場
1150,,,機場
1151,,,加油
1152,,,機場
1153,,拍,機場
1154,,,
1155,,,
1156,,拍,機場
1157,,,
1158,,,
1159,,,威秀
1160,,,
1161,,,海外
1162,,,加油
1163,,,
1164,中信,,海外
1165,,,電影
1166,,,威秀
1167,,,出國
1168,,,海外
1169,,,
1170,,,威秀
1171,,,旅行
1172,,,威秀
1173,,,機票
1174,,,出國
1175,,,機場
1176,,,機場
1177,,拍,出國
1178,,,加油
1179,,,旅遊
1180,,,國外
1181,,,機場
1182,,,
1183,,,
1184,,,機票
1185,,,旅遊
1186,,,電影
1187,,,
1188,,,機場
1189,永豐,拍,海外
1190,,,飯店
1191,,,旅遊
1192,,,機場
1193,,,機場
1194,,,
1195,永豐,拍,海外
1196,,,機票
1197,,,
1198,,,機場
1199,永豐,拍,海外
1200,,,出國
1201,,,機場
1202,,,
1203,永豐,拍,海外
1204,,,旅遊
1205,,,加油
1206,,,海外
1207,,,電影
1208,,,加油
1209,永豐,拍,國外
1210,永豐,拍,海外
1211,,,機場
1212,,,飯店
1213,,,
1214,,,海外
1215,永豐,拍,海外
1216,,,飯店
1217,,,出國
1218,,,加油
1219,,,飯店
1220,,,出國
1221,玉山,,
1222,,,旅行
1223,永豐,拍,海外
1224,國泰世華,,
1225,,,
1226,永豐,拍,海外
1227,,,機場
1228,永豐,拍,海外
1229,永豐,拍,海外
1230,,,保險
1231,,,
1232,,,
1233,,,
1234,,,旅遊
1235,,,電影
1236,,拍,
1237,,,加油
1238,,,出國
1239,,,威秀
1240,,,
1241,,,
1242,,,保險
1243,,,機票
1244,永豐,拍,海外
1245,,,出國
1246,,,機場
1247,,,
1248,,,出國
1249,,,出國
1250,,,旅遊
1251,,,海外
1252,國泰,,出國
1253,,,機票
1254,,,威秀
1255,,,機場
1256,,,
1257,,,保險
1258,台新,,
1259,,,機場
1260,永豐,拍,海外
1261,,,機場
1262,,,保費
1263,,拍,旅行
1264,,,
1265,,,電影
1266,,,海外
1267,,,海外
1268,,,出國
1269,國泰世華,,保費
1270,,,旅行
1271,,,出國
1272,,,電影
1273,,,電影
1274,,,海外
1275,中國信託,,國外
1276,,,
1277,,,出國
1278,,,保費
1279,,,
1280,,,海外
1281,,,機票
1282,,,出國
1283,永豐,拍,海外
1284,,,機票
1285,,,出國
1286,,,飯店
1287,,,機票
1288,,,
1289,,,出國
1290,,,電影
1291,,,
1292,,,機場
1293,永豐,拍,海外
1294,,,機場
1295,,,旅行
1296,,,保費
1297,兆豐,,出國
1298,,,機場
1299,台新,FlyGo,機票
1300,,,
1301,,,機場
1302,永豐,,海外
1303,,,旅遊
1304,,,威秀
1305,,御璽,
1306,,,加油
1307,,,飯店
1308,,,出國
1309,,御璽,電影
1310,,,
1311,,,機場
1312,,,
1313,,,國外
1314,,,
1315,,,
1316,,拍,
1317,,,
1318,,,旅行
1319,,,出國
1320,,,旅遊
1321,,,機場
1322,,,威秀
1323,,,
1324,,,保費
1325,,,出國
1326,,,機場
1327,永豐,拍,海外
1328,,,機場
1329,,,
1330,,,威秀
1331,,,機票
1332,,,飯店
1333,,,出國
1334,,,威秀
1335,玉山,Only,旅遊
1336,,,保險
1337,,,
1338,,,
1339,,,機場
1340,,,
1341,,,飯店
1342,,,海外
1343,,,海外
1344,玉山,,加油
1345,,,電影
1346,,,出國
1347,,,
1348,,,旅遊
1349,,,加油
1350,,,
1351,,,飯店
1352,,,保費
1353,,,
1354,,,出國
1355,,,電影
1356,,,加油
1357,,,電影
1358,,,
1359,,,海外
1360,,,
1361,台新,,
1362,,,機票
1363,,,飯店
1364,,,飯店
1365,,,國外
1366,,,國外
1367,,,
1368,,,國外
1369,,,
1370,,,保險
1371,,,旅遊
1372,,,運動
1373,兆豐,GoGo,海外
1374,,,國外
1375,,,機場
1376,,,國外
1377,,,旅遊
1378,,,國外
1379,玉山,Only,機場
1380,,,國外
1381,,,機票
1382,,,出國
1383,,,飯店
1384,,,機票
1385,,,威秀
1386,,,旅行
1387,,,機場
1388,,,電影
1389,,,國外
1390,,,出國
1391,中信,Pi,海外
1392,,,國外
1393,,,機票
1394,,,出國
1395,,,機場
1396,,,出國
1397,,,機場
1398,,,機場
1399,,,保險
1400,,,威秀
1401,,,飯店
1402,台新,,
1403,,,海外
1404,,,
1405,兆豐,,機票
1406,,,
1407,,,
1408,玉山,拍,海外
1409,永豐,,運動
1410,,,機票
1411,,,出國
1412,國泰,,機票
1413,,,
1414,,,
1415,,,
1416,台新,,機場
1417,兆豐,,機場
1418,台新,,機場
1419,,,旅遊
1420,,,威秀
1421,,,電影
1422,兆豐,,
1423,兆豐,,
1424,,,海外
1425,中信,,保費
1426,,,
1427,,,
1428,台新,GoGo,國外
1429,,,
1430,Richart,大戶,國外
1431,,,
1432,,,
1433,兆豐,,海外
1434,,,
1435,,,
1436,中信,Pi,海外
1437,中信,御璽,機場
1438,兆豐,,
1439,兆豐,,運動
1440,國泰世華,,
1441,玉山,御璽,旅遊
1442,玉山,,出國
1443,,,
1444,,,
1445,國泰,,機場
1446,永豐,,
1447,,,旅遊
1448,,,
1449,兆豐,,海外
1450,台新,,
1451,,,海外
1452,,,
1453,國泰,,旅行
1454,,,
1455,,,國外
1456,,,旅遊
1457,兆豐,,旅平險
1458,,,
1459,兆豐,,
1460,,,
1461,,,
1462,,,
1463,,,旅遊
1464,,,
1465,,,出國
1466,台新,,
1467,,,旅遊
1468,,,運動
1469,中信,,
1470,兆豐,御璽,海外
1471,,,
1472,,,電影
1473,,,海外
1474,,,保費
1475,,,機場
1476,玉山,Pi,
1477,,,
1478,,,加油
1479,,,
1480,中信,,海外
1481,,,機票
1482,,,加油
1483,,,電影
1484,,,飯店
1485,Richart,大戶,國外
1486,玉山,,加油
1487,,,
1488,,,加油
1489,,,
1490,,,旅遊
1491,永豐,,
1492,,,
1493,,,
1494,,,
1495,,,
1496,台新,大戶,保險
1497,中國信託,御璽,機票
1498,,,
1499,中信,,加油
1500,,,飯店
1501,,,國外
1502,中信,,機票
1503,台新,,國賓
1504,,,
1505,,,
1506,,,國外
1507,,,機票
1508,台新,鑽金,海外
1509,,,
1510,,,海外
1511,國泰世華,,
1512,,,
1513,,,旅遊
1514,,,旅行
1515,,,保險
1516,,,加油
1517,國泰世華,,
1518,台新,,
1519,國泰世華,LINEPAY,飯店
1520,,,飯店
1521,,,
1522,,,
1523,,,
1524,台新,御璽,
1525,中信,,海外
1526,,,
1527,,,國外
1528,台新,,海外
1529,台新,御璽,機票
1530,台新,LINEPAY,國賓
1531,台新,,機票
1532,,,
1533,,,
1534,,,
1535,永豐,,
1536,,,
1537,,,運動
1538,,,
1539,,,
1540,,,
1541,國泰世華,,海外
1542,國泰,,機票
1543,,,加油
