,age,serveTime,credLimit,Loan,SalPerY,holdCard,Career
290,25.0,11.0,80000.0,0.0,600000.0,1.0,2.0
291,30.0,4.0,50000.0,0.0,960000.0,0.0,2.0
292,30.0,,80000.0,0.0,,1.0,2.0
293,29.0,65.0,200000.0,0.0,750000.0,1.0,3.0
294,26.0,30.0,150000.0,0.0,700000.0,1.0,2.0
295,24.0,4.0,60000.0,0.0,400000.0,1.0,2.0
296,22.0,18.0,30000.0,0.0,250000.0,0.0,2.0
297,23.0,7.0,50000.0,0.0,330000.0,1.0,2.0
298,29.0,36.0,160000.0,0.0,500000.0,1.0,2.0
299,28.0,22.0,80000.0,0.0,350000.0,0.0,2.0
300,,24.0,130000.0,0.0,750000.0,1.0,2.0
301,22.0,4.0,50000.0,0.0,600000.0,1.0,4.0
302,29.0,14.0,2410000.0,0.0,600000.0,1.0,2.0
303,24.0,,100000.0,0.0,540000.0,1.0,2.0
304,25.0,10.0,150000.0,0.0,600000.0,1.0,2.0
305,27.0,24.0,60000.0,0.0,750000.0,0.0,2.0
306,23.0,30.0,20000.0,0.0,360000.0,1.0,4.0
307,,48.0,180000.0,0.0,430000.0,1.0,2.0
308,29.0,,60000.0,2.0,,1.0,2.0
309,23.0,12.0,50000.0,0.0,540000.0,1.0,2.0
310,26.0,16.0,80000.0,0.0,350000.0,1.0,2.0
311,25.0,35.0,150000.0,,600000.0,1.0,4.0
312,28.0,18.0,80000.0,0.0,,1.0,2.0
313,32.0,12.0,100000.0,3.0,330000.0,1.0,2.0
314,25.0,,100000.0,0.0,300000.0,1.0,2.0
315,27.0,3.0,80000.0,0.0,750000.0,0.0,2.0
316,23.0,12.0,100000.0,0.0,450000.0,1.0,4.0
317,26.0,12.0,80000.0,0.0,420000.0,1.0,2.0
318,28.0,15.0,165000.0,0.0,600000.0,1.0,3.0
319,24.0,24.0,20000.0,0.0,550000.0,0.0,4.0
320,31.0,24.0,150000.0,0.0,650000.0,1.0,2.0
321,26.0,,60000.0,0.0,1000000.0,0.0,2.0
322,34.0,84.0,200000.0,0.0,5000000.0,1.0,2.0
323,28.0,,100000.0,0.0,630000.0,0.0,4.0
324,34.0,67.0,182000.0,0.0,550000.0,1.0,2.0
325,27.0,24.0,80000.0,1.0,480000.0,1.0,2.0
326,39.0,6.0,100000.0,0.0,420000.0,1.0,2.0
327,30.0,24.0,100000.0,0.0,410000.0,1.0,2.0
328,26.0,36.0,80000.0,0.0,400000.0,1.0,2.0
329,28.0,18.0,50000.0,1.0,500000.0,1.0,3.0
330,30.0,15.0,60000.0,0.0,450000.0,1.0,2.0
331,25.0,,300000.0,0.0,,1.0,4.0
332,27.0,48.0,50000.0,0.0,300000.0,0.0,2.0
333,26.0,0.0,100000.0,1.0,800000.0,1.0,2.0
334,21.0,,20000.0,0.0,200000.0,1.0,1.0
335,22.0,3.0,140000.0,1.0,400000.0,1.0,2.0
336,28.0,24.0,150000.0,0.0,800000.0,1.0,2.0
337,28.0,19.0,80000.0,1.0,600000.0,1.0,2.0
338,31.0,48.0,130000.0,0.0,1000000.0,1.0,2.0
339,21.0,30.0,20000.0,0.0,120000.0,1.0,2.0
340,37.0,117.0,120000.0,0.0,620000.0,1.0,3.0
341,30.0,,150000.0,2.0,700000.0,1.0,4.0
342,27.0,6.0,60000.0,0.0,340000.0,1.0,2.0
343,25.0,12.0,50000.0,0.0,360000.0,0.0,2.0
344,27.0,57.0,20000.0,0.0,500000.0,1.0,2.0
345,25.0,,130000.0,0.0,800000.0,1.0,2.0
346,21.0,3.0,90000.0,0.0,360000.0,1.0,2.0
347,25.0,8.0,100000.0,0.0,300000.0,1.0,2.0
348,,,20000.0,0.0,,1.0,1.0
349,,120.0,190000.0,0.0,,0.0,3.0
350,29.0,,120000.0,0.0,,0.0,2.0
351,36.0,108.0,600000.0,0.0,5000000.0,1.0,2.0
352,33.0,12.0,250000.0,2.0,3000000.0,1.0,2.0
353,,12.0,200000.0,0.0,,0.0,2.0
354,32.0,120.0,120000.0,0.0,700000.0,1.0,2.0
355,22.0,0.0,50000.0,0.0,400000.0,1.0,2.0
356,25.0,1.0,150000.0,1.0,800000.0,1.0,2.0
357,25.0,1.0,130000.0,1.0,900000.0,0.0,2.0
358,25.0,2.0,50000.0,0.0,950000.0,0.0,2.0
359,20.0,12.0,20000.0,0.0,100000.0,0.0,1.0
360,24.0,,60000.0,0.0,200000.0,0.0,2.0
361,22.0,,50000.0,0.0,360000.0,0.0,2.0
362,23.0,60.0,30000.0,0.0,360000.0,1.0,2.0
363,23.0,48.0,30000.0,1.0,,1.0,3.0
364,33.0,36.0,100000.0,0.0,,1.0,2.0
365,42.0,36.0,200000.0,0.0,1500000.0,1.0,2.0
366,37.0,10.0,300000.0,,,0.0,2.0
367,25.0,12.0,180000.0,3.0,600000.0,0.0,3.0
368,28.0,48.0,30000.0,0.0,450000.0,1.0,2.0
369,27.0,18.0,150000.0,0.0,350000.0,1.0,2.0
370,32.0,96.0,230000.0,0.0,1000000.0,1.0,2.0
371,32.0,48.0,70000.0,,1200000.0,1.0,2.0
372,28.0,42.0,200000.0,0.0,1000000.0,1.0,2.0
373,24.0,1.0,80000.0,1.0,400000.0,1.0,2.0
374,30.0,53.0,80000.0,0.0,580000.0,1.0,2.0
375,27.0,34.0,340000.0,1.0,6000000.0,1.0,2.0
376,,42.0,310000.0,,1200000.0,1.0,2.0
377,24.0,1.0,80000.0,0.0,540000.0,1.0,2.0
378,30.0,36.0,200000.0,0.0,420000.0,1.0,2.0
379,26.0,12.0,80000.0,0.0,450000.0,1.0,2.0
380,24.0,4.0,100000.0,0.0,600000.0,0.0,2.0
381,25.0,3.0,80000.0,0.0,360000.0,0.0,2.0
382,31.0,48.0,80000.0,0.0,700000.0,1.0,2.0
383,,53.0,150000.0,3.0,1000000.0,0.0,2.0
384,25.0,0.0,80000.0,0.0,,0.0,2.0
385,33.0,29.0,70000.0,0.0,380000.0,1.0,2.0
386,24.0,14.0,150000.0,1.0,600000.0,0.0,2.0
387,30.0,,200000.0,0.0,250000.0,1.0,2.0
388,31.0,9.0,100000.0,0.0,500000.0,1.0,2.0
389,27.0,40.0,80000.0,0.0,600000.0,1.0,2.0
390,25.0,24.0,20000.0,1.0,700000.0,1.0,2.0
391,29.0,2.0,180000.0,0.0,2000000.0,1.0,2.0
392,29.0,60.0,280000.0,3.0,800000.0,1.0,2.0
393,20.0,8.0,20000.0,0.0,200000.0,1.0,1.0
394,27.0,4.0,60000.0,0.0,500000.0,1.0,4.0
395,22.0,12.0,110000.0,1.0,540000.0,0.0,2.0
396,28.0,48.0,150000.0,0.0,700000.0,1.0,2.0
397,29.0,,50000.0,0.0,700000.0,1.0,4.0
398,22.0,14.0,60000.0,0.0,330000.0,0.0,2.0
399,35.0,96.0,120000.0,0.0,,0.0,3.0
400,22.0,2.0,40000.0,0.0,420000.0,1.0,2.0
401,28.0,4.0,300000.0,0.0,1350000.0,1.0,2.0
402,28.0,24.0,50000.0,3.0,300000.0,1.0,2.0
403,34.0,60.0,140000.0,0.0,513000.0,1.0,4.0
404,22.0,,40000.0,0.0,,1.0,1.0
405,23.0,,120000.0,0.0,480000.0,1.0,2.0
406,27.0,24.0,60000.0,,500000.0,0.0,2.0
407,26.0,9.0,200000.0,0.0,1000000.0,1.0,4.0
408,26.0,36.0,70000.0,0.0,650000.0,1.0,2.0
409,32.0,84.0,200000.0,0.0,900000.0,1.0,2.0
410,,4.0,160000.0,0.0,800000.0,1.0,2.0
411,21.0,3.0,120000.0,0.0,500000.0,1.0,3.0
412,27.0,,60000.0,0.0,400000.0,1.0,2.0
413,33.0,48.0,210000.0,0.0,450000.0,1.0,2.0
414,35.0,42.0,280000.0,3.0,1200000.0,1.0,2.0
415,24.0,6.0,50000.0,0.0,240000.0,0.0,2.0
416,23.0,0.0,30000.0,0.0,,1.0,2.0
417,24.0,1.0,150000.0,1.0,1000000.0,0.0,2.0
418,28.0,0.0,150000.0,0.0,300000.0,1.0,2.0
419,25.0,8.0,100000.0,0.0,300000.0,0.0,2.0
420,25.0,36.0,200000.0,0.0,700000.0,0.0,3.0
421,25.0,8.0,20000.0,1.0,130000.0,0.0,2.0
422,25.0,4.0,60000.0,1.0,400000.0,0.0,2.0
423,32.0,84.0,200000.0,0.0,600000.0,1.0,2.0
424,22.0,7.0,80000.0,0.0,400000.0,1.0,2.0
425,25.0,2.0,100000.0,0.0,750000.0,1.0,4.0
426,,132.0,300000.0,0.0,2000000.0,1.0,2.0
427,23.0,18.0,20000.0,0.0,300000.0,1.0,1.0
428,21.0,6.0,20000.0,0.0,180000.0,1.0,1.0
429,22.0,20.0,50000.0,0.0,400000.0,0.0,2.0
430,23.0,36.0,20000.0,0.0,90000.0,1.0,1.0
431,23.0,36.0,20000.0,0.0,90000.0,1.0,1.0
432,25.0,,50000.0,1.0,240000.0,1.0,2.0
433,38.0,96.0,300000.0,0.0,700000.0,1.0,2.0
434,25.0,4.0,50000.0,0.0,400000.0,1.0,3.0
435,32.0,108.0,600000.0,3.0,2000000.0,1.0,2.0
436,33.0,10.0,410000.0,0.0,1000000.0,1.0,2.0
437,29.0,36.0,100000.0,0.0,300000.0,1.0,2.0
438,29.0,36.0,260000.0,0.0,810000.0,1.0,2.0
439,24.0,18.0,150000.0,0.0,450000.0,1.0,2.0
440,36.0,24.0,200000.0,3.0,3000005.0,1.0,2.0
441,24.0,1.0,50000.0,0.0,,1.0,2.0
442,23.0,1.0,50000.0,,500000.0,1.0,2.0
443,26.0,,100000.0,0.0,,1.0,4.0
444,25.0,26.0,200000.0,0.0,650000.0,1.0,2.0
445,33.0,72.0,60000.0,,400000.0,1.0,2.0
446,30.0,,100000.0,0.0,450000.0,1.0,2.0
447,22.0,5.0,20000.0,1.0,250000.0,0.0,1.0
448,24.0,10.0,150000.0,3.0,450000.0,0.0,2.0
