,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
329,28,0,"['台新', 'Flygo', '玉山', 'Pi', '台新', 'GoGo']",,0,480000,1,3
330,,,[],,,,0,2
331,,,[],,,,0,2
332,,,"['玉山', 'Pi']",,0,,1,2
333,,,"['玉山', 'Pi']",,0,,1,2
334,,,['GoGo'],20000,,,0,2
335,,,[],,,,0,2
336,,,[],,,,0,2
337,29,72,"['Richart', '台新', 'GoGo']",120000,2,380000,1,2
338,,,[],,,,0,2
339,,,[],,,,0,2
340,,,[],,,,0,2
341,23,1,"['玉山', 'Ubear']",30000,,200000,0,1
342,23,12,['Ubear'],220000,,480000,0,2
343,23,2,[],,,600000,0,2
344,,,[],,,,0,2
345,,,[],,,,0,2
346,,,[],,,,0,2
347,23,14,"['富邦', '中信', '聯邦', '賴點卡', '玉山', 'Ubear']",30000,0,140000,0,2
348,,,[],,,,0,2
349,,,[],,,,0,2
350,27,36,"['玉山', 'Ubear']",150000,,600000,0,4
351,28,3,"['玉山', 'Ubear']",,,500000,0,2
352,29,,['Ubear'],50000,,,0,1
353,,,[],,,,0,2
354,,,[],,,,0,2
355,,,[],,,,0,2
356,23,48,"['星展', '玉山', '永豐', '中信', '國泰']",60000,0,600000,0,2
357,29,48,"['台新', 'GoGo', '中信', 'LINEPay', '華南']",,0,480000,1,2
358,,,[],,,,0,2
359,,22,[],,0,700000,1,2
360,25,1,"['中信', 'LINEPay']",,0,630000,1,2
361,,,[],,,,0,2
362,,,[],,,,0,2
363,26,24,"['花旗', '凱基', '台新', '兆豐', '國泰', '富邦', '玉山', '中信', '匯豐']",,0,450000,0,2
364,,,[],,,,0,2
365,25,4,[],,0,150000,1,2
366,,48,[],120000,,500000,1,2
367,28,,['一銀'],40000,3,400000,0,2
368,36,,[],,2,,1,2
369,,12,['一銀'],80000,0,,0,2
370,39,,"['一銀', '星燦卡']",120000,0,1300000,1,2
371,,72,[],,0,600000,1,3
372,27,36,[],200000,,1100000,0,2
373,27,16,[],,1,560000,0,2
374,,,[],,,,0,2
375,29,12,"['一銀', '兆豐', 'e秒刷鈦金卡']",,0,700000,1,2
376,24,1,[],,0,530000,1,2
377,34,5,['一銀'],,0,650000,1,3
378,25,0,['一銀'],60000,0,480000,1,3
379,,33,[],160000,1,600000,1,2
380,34,60,[],,,513000,0,4
381,,,[],,,,0,2
382,28,60,[],,0,900000,0,4
383,25,2,[],,0,1100000,1,2
384,,,[],250000,,,0,2
385,23,12,[],150000,0,420000,1,3
386,27,21,[],50000,3,550000,1,2
387,,96,[],,,600000,1,2
388,25,3,['上海商銀'],80000,0,50000,1,2
389,24,24,['上海商銀'],100000,0,600000,1,3
390,29,26,[],,,430000,0,2
391,,36,[],,3,1010000,0,4
392,32,26,[],,0,600000,1,2
393,27,36,[],200000,1,800000,1,2
394,25,0,[],,0,,1,1
395,,48,['上海商銀'],200000,,1200000,1,2
396,28,36,[],,0,500000,1,2
397,40,45,"['上海商銀', '簡單卡']",150000,0,,0,2
398,30,72,['小小兵信用卡'],,3,550000,0,4
399,40,,"['上海商銀', '簡單卡']",150000,0,1300000,1,2
400,32,7,"['上海商銀', 'dawho']",200000,2,950000,1,2
401,,6,[],100000,0,800000,1,2
402,25,4,[],,0,450000,0,2
403,28,68,[],,0,600000,1,2
404,31,3,['上海商銀'],,2,600000,1,2
405,,,['上海商銀'],200000,3,,0,2
406,23,9,[],,0,350000,1,2
407,23,2,"['台新', 'GoGo']",50000,0,400000,0,3
408,,7,['簡單卡'],80000,1,500000,0,2
409,24,24,[],,1,480000,1,2
