,age,serveTime,credLimit,Loan,SalPerY,holdCard,Career
293,25,7,60000,1,360000,0,2
1821,27,5,60000,0,360000,0,2
1829,23,4,60000,0,360000,0,2
1846,24,9,60000,0,360000,0,2
1897,24,12,60000,1,360000,0,3
3285,20,36,60000,0,360000,0,2
3299,22,6,60000,,360000,0,2
522,28,0,50000,0,360000,0,2
632,25,12,50000,0,360000,0,2
667,22,,50000,0,360000,0,2
1238,24,12,50000,,360000,1,2
1510,25,24,50000,0,360000,1,1
1603,22,8,50000,1,360000,0,4
1854,20,13,50000,,360000,0,1
668,23,60,30000,0,360000,1,2
1884,26,24,30000,0,360000,0,2
1906,23,10,30000,0,360000,0,2
1989,,36,30000,1,360000,1,2
309,32,11,25000,0,360000,1,2
561,23,30,20000,0,360000,1,4
992,23,30,20000,0,360000,1,4
1951,,,20000,0,360000,1,3
1901,,4,130000,0,370000,0,3
1700,36,72,100000,,370000,0,2
3221,26,,180000,0,380000,1,2
3256,24,5,130000,0,380000,0,2
151,29,72,120000,2,380000,1,2
2514,24,6,110000,0,380000,0,2
3278,24,5,100000,0,380000,0,2
1462,27,9,81000,0,380000,0,3
2080,26,24,81000,0,380000,1,2
720,33,29,70000,0,380000,0,2
1718,31,36,50000,0,380000,0,2
2334,25,15,50000,0,380000,1,2
3201,23,1,110000,0,390000,0,2
1816,23,,60000,1,390000,0,2
1916,25,6,60000,0,390000,0,2
1642,22,10,50000,1,390000,0,4
1577,23,,20000,1,390000,0,1
75,27,,565000,0,400000,1,2
1157,,6,400000,0,400000,1,4
2257,30,12,400000,0,400000,0,2
141,25,24,360000,0,400000,0,2
304,,,210000,0,400000,0,2
2712,,8,200000,0,400000,1,2
2952,28,6,196000,0,400000,1,2
1345,25,0,190000,0,400000,0,2
1156,25,11,180000,,400000,0,2
1727,28,2,180000,0,400000,0,2
2444,25,23,170000,,400000,0,2
3346,24,,170000,0,400000,1,3
2939,24,3,169000,0,400000,0,2
1040,23,2,160000,,400000,0,2
1114,28,16,160000,0,400000,1,2
3017,25,3,150000,0,400000,0,3
1007,30,96,150000,0,400000,1,2
1892,28,15,150000,0,400000,0,2
2265,31,60,150000,,400000,0,2
2692,35,1,150000,,400000,0,2
3101,29,72,150000,0,400000,1,2
2811,45,3,141000,0,400000,1,2
473,25,16,140000,0,400000,1,2
609,22,3,140000,1,400000,1,2
2149,26,21,140000,0,400000,0,3
2883,24,,140000,0,400000,1,2
3171,24,9,140000,0,400000,1,2
972,28,34,130000,0,400000,1,2
1005,35,58,130000,3,400000,0,2
1047,27,33,130000,,400000,1,2
2735,25,11,130000,,400000,0,2
3140,25,12,130000,0,400000,1,3
3185,21,27,130000,0,400000,1,2
2962,28,14,127000,0,400000,0,2
2930,23,4,123000,0,400000,1,2
279,23,2,120000,0,400000,0,2
861,27,3,120000,0,400000,0,4
867,23,4,120000,0,400000,0,2
984,27,16,120000,0,400000,1,3
1247,27,0,120000,0,400000,0,2
1632,24,4,120000,1,400000,0,2
2241,29,84,120000,,400000,0,2
448,29,2,116000,0,400000,1,2
363,22,0,115000,1,400000,0,2
1722,24,39,115000,0,400000,0,2
2107,28,,115000,,400000,1,2
2984,25,,115000,0,400000,0,2
131,23,9,110000,1,400000,1,2
1741,23,6,110000,0,400000,0,4
3133,36,96,110000,2,400000,1,2
3211,27,16,110000,0,400000,0,2
3260,,24,110000,0,400000,1,2
1638,24,3,105000,1,400000,0,2
3521,22,,100000,0,400000,0,2
68,23,26,100000,0,400000,0,2
412,28,15,100000,0,400000,1,2
863,36,72,100000,0,400000,1,2
1336,32,36,100000,0,400000,1,2
1429,28,24,100000,1,400000,0,2
1486,22,39,100000,,400000,0,2
1783,24,2,100000,0,400000,0,2
2174,24,2,100000,0,400000,0,2
2284,34,36,100000,3,400000,1,4
2305,30,9,100000,,400000,1,2
2405,30,48,100000,0,400000,1,2
2576,25,4,100000,0,400000,1,2
2698,25,24,100000,1,400000,0,2
2885,24,,100000,0,400000,1,2
3039,29,12,100000,0,400000,0,2
3102,23,1,100000,0,400000,0,3
3301,,3,100000,,400000,0,3
1738,,1,95000,0,400000,0,2
3027,21,12,94000,2,400000,0,2
3219,,0,86000,1,400000,1,2
1044,24,8,84000,0,400000,1,2
2770,30,60,83000,3,400000,0,2
593,26,36,80000,0,400000,1,2
697,24,348,80000,1,400000,1,2
790,22,7,80000,0,400000,1,2
869,23,4,80000,1,400000,0,2
876,23,3,80000,1,400000,1,2
1102,30,84,80000,3,400000,1,2
1234,39,29,80000,3,400000,1,3
1617,,48,80000,0,400000,0,1
1732,23,4,80000,0,400000,0,2
1862,31,72,80000,0,400000,0,2
2155,25,10,80000,0,400000,0,2
2467,31,0,80000,,400000,0,4
2478,25,15,80000,,400000,0,2
2564,25,1,80000,0,400000,0,3
2718,25,36,80000,3,400000,1,2
2750,24,12,80000,,400000,0,2
2773,23,12,80000,,400000,1,2
3022,39,24,80000,0,400000,1,3
3186,21,18,80000,0,400000,1,2
3205,25,12,80000,0,400000,0,2
3257,22,5,80000,0,400000,0,2
2077,23,24,72000,1,400000,1,2
2978,23,3,70000,1,400000,0,2
15,26,12,70000,0,400000,1,3
1178,25,4,70000,,400000,0,2
1629,23,1,70000,1,400000,0,2
1903,25,28,70000,0,400000,0,2
1956,31,6,70000,0,400000,0,2
3483,,24,70000,1,400000,0,4
3524,24,,70000,1,400000,1,4
36,23,5,60000,0,400000,0,4
205,25,3,60000,0,400000,0,3
447,22,1,60000,0,400000,0,2
540,24,4,60000,0,400000,1,2
768,27,,60000,0,400000,0,2
788,25,4,60000,1,400000,0,2
838,33,72,60000,,400000,1,2
873,,19,60000,0,400000,0,2
1120,23,10,60000,0,400000,0,2
1276,27,17,60000,0,400000,0,4
1317,25,0,60000,0,400000,0,3
1354,36,24,60000,,400000,0,2
1397,27,12,60000,0,400000,0,2
1712,27,24,60000,0,400000,0,2
1762,22,7,60000,1,400000,0,2
1832,32,24,60000,0,400000,0,3
2129,,120,60000,3,400000,0,2
2869,27,24,60000,,400000,1,3
3265,,3,60000,1,400000,0,2
3330,23,4,60000,1,400000,0,2
42,,4,50000,0,400000,0,2
201,23,2,50000,0,400000,0,3
658,22,0,50000,0,400000,0,2
800,22,20,50000,0,400000,0,2
807,25,4,50000,0,400000,0,3
919,25,17,50000,1,400000,0,2
998,27,3,50000,0,400000,1,2
1233,25,12,50000,0,400000,0,2
1236,29,24,50000,0,400000,1,2
1343,24,24,50000,0,400000,0,2
1367,23,3,50000,,400000,0,2
1368,28,18,50000,1,400000,0,2
1793,22,24,50000,0,400000,0,2
1882,,4,50000,0,400000,0,3
2002,,36,50000,0,400000,1,2
2858,33,10,50000,,400000,0,2
2872,24,1,50000,0,400000,1,2
3035,28,24,50000,1,400000,1,2
3187,23,6,50000,1,400000,0,2
3197,28,24,50000,0,400000,0,2
94,20,16,40000,,400000,0,2
166,28,,40000,3,400000,0,2
1324,22,5,40000,0,400000,0,2
322,25,3,30000,0,400000,1,4
1268,26,24,30000,,400000,0,2
1573,22,12,30000,0,400000,1,2
1861,20,9,30000,3,400000,0,2
3045,26,3,30000,0,400000,1,2
3046,26,3,30000,0,400000,1,2
3198,23,4,30000,0,400000,0,2
3273,26,2,30000,0,400000,0,2
3378,,,30000,,400000,0,3
3381,,18,30000,0,400000,0,2
3413,23,4,30000,0,400000,1,2
3491,23,,30000,0,400000,0,2
1213,28,24,20000,1,400000,1,2
1588,20,60,20000,0,400000,1,1
1615,21,24,20000,0,400000,1,1
1616,21,24,20000,0,400000,1,1
2424,21,24,20000,0,400000,1,1
2889,26,15,20000,1,400000,0,2
2957,24,15,20000,1,400000,0,2
3010,24,6,20000,0,400000,1,4
3029,33,36,20000,0,400000,1,2
3054,21,36,20000,,400000,0,1
3361,20,,20000,0,400000,0,1
2190,,,150000,0,410000,1,4
592,30,24,100000,0,410000,0,2
487,27,,60000,1,410000,1,2
859,28,36,50000,0,410000,0,2
2649,,47,450000,0,415000,1,2
3445,24,,420000,0,420000,1,2
704,30,36,200000,0,420000,1,2
2583,30,84,200000,,420000,0,2
2822,36,,200000,0,420000,1,2
2941,24,12,189000,3,420000,0,2
3522,24,2,170000,0,420000,0,4
180,23,12,150000,0,420000,1,3
207,23,12,150000,0,420000,1,3
1889,23,6,150000,1,420000,0,2
2164,23,12,150000,0,420000,1,3
2170,23,12,150000,0,420000,1,3
2477,23,12,150000,0,420000,1,3
3118,23,12,150000,0,420000,1,3
3123,23,12,150000,0,420000,1,3
3236,25,3,150000,,420000,0,2
1647,24,3,140000,1,420000,0,2
2955,24,12,130000,0,420000,0,2
1484,22,,120000,0,420000,0,2
2976,24,1,116000,1,420000,0,2
1785,28,2,110000,0,420000,0,2
432,24,13,100000,0,420000,0,2
591,39,0,100000,0,420000,0,2
1687,26,36,100000,,420000,0,2
1908,,,100000,0,420000,0,3
2223,26,36,100000,,420000,0,2
2603,26,36,100000,,420000,0,2
3453,24,2,90000,0,420000,0,2
576,26,12,80000,0,420000,1,2
2439,24,12,80000,,420000,0,2
1798,22,2,70000,0,420000,0,2
1260,27,0,60000,1,420000,0,2
3167,26,7,60000,,420000,0,2
1834,28,15,50000,0,420000,0,2
752,22,2,40000,0,420000,0,2
562,,48,180000,0,430000,1,2
1485,23,,150000,0,430000,0,2
1633,23,12,150000,1,430000,1,3
2709,,26,150000,0,430000,0,2
2970,30,8,131000,0,430000,1,2
3283,,24,120000,,430000,1,2
