,age,card_apply,career,cred_l,h_card,sal,serv_t
80,20,"['台新', 'GoGo']",2,20000,0,,9
81,23,"['兆豐', 'e秒刷鈦金卡']",2,70000,1,,
82,21,"['台新', 'GoGo']",2,,1,330000,5
83,,"['台新', 'GoGo', 'GoGo']",1,,1,,3
84,23,[],2,100000,0,,38
85,24,[],1,80000,1,,
86,22,[],2,20000,1,120000,
87,,[],2,,1,,
88,,[],1,,1,,
89,25,[],2,170000,1,700000,
9,,"['玉山', '台新', 'GoGo', '中信']",4,,1,,2
90,23,"['星展', '炫晶御璽卡']",2,100000,0,310000,
91,22,[],4,50000,1,312000,
92,22,[],2,20000,1,30000,4
93,23,"['統一獅聯名卡', '兆豐']",2,50000,1,300000,
94,20,"['台新', 'Flygo']",2,65000,1,280000,
95,,[],2,,1,,
96,20,[],2,20000,1,400000,
97,23,[],2,80000,1,360000,
98,20,"['台新', 'GoGo']",2,20000,1,,6
99,,['Richart'],2,,1,,
