rec_no,vs1,vs2,vq1,vq2,vq3_1,vq3_2,vq3_3,vq3_4,vq3_5,vq3_6,vq3_7,vq3_8,vq3a,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4a,vq5,vq5a,vq6_1,vq6_2,vq6_3,vq6_4,vq6_5,vq6_6,vq6_7,vq6_8,vq6a,vq7,vq7a,vq8,vq9_1,vq9_2,vq9_3,vq9_4,vq9_5,vq9_6,vq9_7,vq9_8,vq9a,vq10,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13_1,vq13_2,vq13_3,vq13_4,vq13_5,vq13_6,vq13_7,vq13_8,vq13a,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq14_7,vq14_8,vq14a,vq15,vq16,vq16a,vq17_1,vq17_2,vq17_3,vq17_4,vq17_5,vq17a,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq19,vq20,vq21,vq22,vq22a,vq23,vq23a,vq24,vq24a,vq25,vq25a,vq26_1,vq26_2,vq27,vq28,vq29,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30a,vq31,vq31a,vq32,vq32a,vq33,vq33a,vq34,vq34a,vq35,vq35a,vq36,vq36a,vq37,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40,vq40a,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41a,vq42,vq42a,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45a,vq46_1,vq46_2,vq46_3,vq46_4,vq46a,vq47_1,vq47_2,vq47_3,vq47_4,vq47a,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51_1,vq51_2,vq51_3,vq51_4,vq51_5,vq51_6,vq51_7,vq51_8,vq51a,vq52_1,vq52_2,vq52_3,vq52_4,vq52_5,vq52_6,vq52_7,vq52_8,vq52a,vq53,vq54_1,vq54_2,vq54_3,vq54_4,vq54_5,vq54_6,vq54_7,vq54_8,vq54a,vq55_1,vq55_2,vq55_3,vq55_4,vq55_5,vq55_6,vq55_7,vq55_8,vq55a,vq56,vq57,vq57a,vq58,vq58a,vq59,vq60_1,vq60_2,vq60_3,vq60_4,vq60_5,vq60_6,vq60_7,vq60_8,vq61,vq61a,vq62,vq62a,vq63,vq63a,vq64,vq64a,vq65,vq66,vq67,vq68,vq69,vq70,vq71,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq79,vq80,vq81,vq82,vq83,vq84,vq85,vq86,vq87,vq88,vq89,vq90,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
1919,6,6,87,1,1,6,5,2,4,3, , , ,1,2,3,4,5,6, , , ,6, ,4, , , , , , , , ,4, ,1,8,7,2, , , , , , ,20,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,10,23,1, , , , , ,1,5,1,1, ,1, ,1505, ,3, ,3, , , , ,1,3,4, , , , ,4, , , , , , , ,1, , , ,1,1,2, , , , , , , ,2,3, , , , , , , ,2, ,1,3, , , , ,2, ,1,3, , , , , ,3, , , , , , ,90, , , , , , , , , ,1,2, , , ,1, , , ,1,1,7,19,18, , , , , , ,7,18,19, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,8, , , , , ,1, ,10, ,3, ,5, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,7,21, , ,4,0,4,3,13,2,8,4,9,5, , ,1,4,4,1, , ,2,3, , , ,2, , , ,5001,1,500,1,1,7, ,1,21,.884070666461335
313,7,7,79,1,3,5,6,1, , , , , ,1,6, , , , , , , ,6, ,6, , , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,20,2,16,1,22,23,2,1,5,1, ,2, ,1801, ,2, ,3, , , , ,1,2,3,4, , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,2, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,3, , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,6,7,8, , , , ,1, ,1, ,6, ,7, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,7, ,5,5,1,4,1,13,9,4,8,6,5, ,2, , ,4,2,4, ,1,1, , , ,2, , , ,1011,2,600,1,2,5,5,1,7,.345911166563884
2605,5,6,81,1,6,4,3,5,1,8, , , ,1,3,5,6,8, , , , ,6, ,1,5,6,3, , , , , ,5, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,25,16,13,27,2,1,8,6,1,1,1,1, ,1, ,1402, ,2, ,3, , , , ,1,2,3,4, , , ,1, ,4, , , , , , , , , ,1,1,2,5,8,10,11, , , ,1,3,4,7, , , , , ,2, ,1,2, , , , ,96, ,2,3,4, , , , ,4, , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,20,6,3,17,1,13,5,2, ,1,6, , , , , , , ,1,9, , , , , , , , ,3,5,4, , , , , , ,2000,1, , , ,4,1,6,8, , , , , ,8, ,1, ,7, ,3, ,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,3,2,3,3,4,3,3,3,3,4,4,1,1,7,13, ,5,4,0,4,5,13,6,8,1,4,9, ,1, , ,4,1,3, ,2,1, , , ,1, , , ,4002,2,500,1,1,7,5,1,13,.891683824532909
1008,5,5,65,2,5,1,3,2,8,4,6, , ,1,2,4,5,6, , , , ,2, ,1,5,2,7,6,4,3, , ,6, ,2, , , , , , , , , , , , , , , , , , , ,1,4,7, , , , , , ,1,7, , , , , , , , , , , , , , , , ,24,16,8,18,6,4,14,15,1,1,6,1, ,1, ,1404, ,1, ,1, ,2,999998, ,3, , , , , , ,3, , , , , ,5, , , , , ,2, , , , , , , , , , , , , , , , , , ,2, ,1,4, , , , ,96, ,90, , , , , , , , , , , , , ,1, , , , ,90, , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , ,1, ,12, ,2, ,10, ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,96,96,96,96,96,96,96,96,96,2,1,5,15, ,4,5,3,4,2,13,9,4,8, , , , ,98, ,3, , , ,2,2, , , ,1, , , ,4005,3,400,2,2,5,4,1,15,.96703893684598
20,2,2,78,1,3,5,1,6, , , , , ,1,3,5,6, , , , , ,6, ,3,6,5,1, , , , , ,5, ,1,8,6,9, , , , , , ,14,1,2, , , , , , , ,3,4,5, , , , , , ,3,4,5, , , , , , ,2, , , , , , , , ,16,5,6,13,2,21,7,24,1,1,6,1, ,1, ,206, ,2, ,3, , , , ,1,2,3, , , , ,1, ,4, , , , , , , , , ,1,1,2,5,11, , , , , ,1,3,5,7, , , , , ,2, ,1, , , , , ,1, ,2,3, , , , , ,2,3, , , , , ,1,2, , , ,90, , , , ,1,2, , , ,1, , , ,1,2,4,1,9,2,20, , , , ,1,20, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,6, , ,1,6,8, , , , , ,1, ,8, ,1, ,6, ,3,3,4,4,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,6,8, ,6,3,0,4,4,13,8,1,5, , , ,2, , ,3,3, , ,2, , , , ,1, , , ,1010,2,100,1,1,6,6,1,8,.634695156864531
5914,20,20,90,1,3,8,9,5,10,6,4,1, ,1,3,5,6,8,9,10, , ,6, ,6, , , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , , , , , , ,98, , , , , , , ,1,1,96,1, ,1, ,9996, ,1, ,98, , , , ,1,2,3,4, , , ,1, ,98, , , , , , , , , ,1,98, , , , , , , , , , , , , , , , , ,2, ,98, , , , , ,98, ,98, , , , , , , , , , , , , ,98, , , , , , , , , , , , , , ,2, , , ,1,2,98, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,96, , ,1, , , , , , , ,1, ,8, ,1, ,5, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98,98,98,98,98,98,98,98,98,98,1,98,5,98, ,98,5,1,4,11,13,5,3,9,2,14,8, ,98,98, ,98, , ,98,98, ,98, ,98,98, , ,4004,1,400,1,1,5,96,96,96,.48928181864632
5214,4,4,88,2,5,3,6,4,2,1, , , ,1,4,6, , , , , , ,6, ,6, , , , , , , , ,6, ,1,1, , , , , , , , ,14,1,96, , , , , , , ,3,4, , , , , , , ,4, , , , , , , , ,2, , , , , , , , ,6,7, , , , , , ,3,1,2,1, ,1, ,801, ,2, ,96, , , , ,1,4, , , , , ,1, ,3, , , , , , , , , ,1,2,5, , , , , , , ,2,3,4, , , , , , ,3, ,1, , , , , ,2, ,3, , , , , , ,3, , , , , , ,94,1, , ,手機,1, , , , ,1, , , , ,1, , , ,1,2,25,3,4,1,5,2, , , ,1,3,4,5, , , , , ,1,15, , , , , , , , ,3,2, , , , , , , ,100,1, , , ,2,1, , , , , , , ,1, ,1, ,10, ,6, ,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,7,9, ,3,5,2,4,1,13,7,9, , , , ,1, , , , , ,5, ,1, , , ,2, , , ,3003,1,300,2,1,7,3,1,9,1.21480857403099
1715,10,4,55,2,2,4,3,5,6, , , , ,2,6, , , , , , , ,6, ,2,3, , , , , , , ,2, ,1,4,2,3, , , , , , ,1,2, , , , , , , , ,3,4,7, , , , , , ,4,7, , , , , , , , , , , , , , , , ,4,13,10,5,3,2,16,1,1,1,6,1, ,1, ,1001, ,3, ,1, ,1,400, ,1,3,4, , , , ,1, ,5, , , , , , , , , ,1,1,2,3,4,5,11, , , ,1,2,4, , , , , , ,2, ,1, , , , , ,1, ,1,2,3,4, , , ,1,2,3, , , , ,1, , , , ,1, , , , ,1,2,3,4, ,1, , , ,1,2,13,8,4,26,27,20,2,7, ,2,4,7,8,13,20,26,27, ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,2,3,6,7, , , ,7, ,1, ,3, ,6, ,1,1,1,1,1,1,1,2,3,1,1,2,2,1,2,1,2,2,1,2,2,3,3,3,2,2,2,1,7,15, ,6,5,0,4,2,14,8,13,9,7,4,5, ,2, ,8,1, ,2,3,2, , , ,1,2, , ,1003,4,300,2,2,7,6,1,15,1.63908162371041
1211,9,9,89,1,5,6,10,2,3,1,8,4, ,1,4,5,6, , , , , ,6, ,4,6, , , , , , , ,6, ,1,3,8,5, , , , , , ,996,2, , , , , , , , ,1,3,4, , , , , , ,1,3,4, , , , , , , , , , , , , , , ,6,25,19,8,18,5,23,1,2,3,3,1, ,1, ,702, ,1, ,1, ,96,999996, ,1,2,4, , , , ,1, ,3, , , , , , , , , ,1,1,2,5,7,10, , , , ,1,2,3, , , , , , ,1, ,1,2, , , , ,1, ,2,3, , , , , ,3, , , , , , ,1, , , , ,90, , , , ,1, , , , ,1, , , ,1,1,1,11,17,10,12, , , , ,10,11,12,17, , , , , ,1,8, , , , , , , , ,1, , , , , , , , ,100,1, , , ,4,1,10,12, , , , , ,1, ,10, ,8, ,6, ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,2,2,2,2,2,3,2,2,1,1,7,21, , ,3,1,4,1,14,12,4,5,11,9, ,3, , ,6,1, , , ,3, ,1,1, ,13, , ,2006,1,200,1,1,7, ,1,21,.439587712016892
1909,6,6,81,1,4,3,6,1, , , , , ,1,3,4,6, , , , , ,6, ,3,6,4, , , , , , ,6, ,1,5,9,6,8,1, , , , ,21,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,13,15,3,2, , , , ,1,1,5,1, ,2, ,1505, ,1, ,3, , , , ,1,3,4, , , , ,1, ,1, , , , , , , , , ,1,1,3,4,5, , , , , ,2,4,7, , , , , , ,1, ,90, , , , , ,2, ,2,3,4, , , , ,3, , , , , , ,1,2, , , ,1, , , , ,1, , , , ,1, , , ,1,1,1,8,7, , , , , , ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,2,7,10, , , , ,1, ,1, ,2, ,10, ,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,1,2,7,13, ,5,4,0,4,1,14,9,7,8,4, , ,1, , ,4, , ,1,1,1, , , , ,96, , ,5003,2,500,1,1,7,5,2,13,.891683824532909
1305,8,8,88,2,2,1,6,4,3,9, , , ,1,3,6,9, , , , , ,6, ,4,6,3,5,2,1, , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,1,26,2,13, , , , ,1,1,6,1, ,1, ,601, ,1, ,96, , , , ,1,3,4, , , , ,1, ,3, , , , , , , , , ,1,1,2,5,11, , , , , ,3,5, , , , , , , ,3, ,1, , , , , ,1, ,90, , , , , , , , , , , , , ,94, , , ,Youtube,90, , , , , , , , , ,1, , , ,1,2,18,2, , , , , , , ,2,18, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,5, , ,6,8,12, , , , , ,8, ,96, ,96, ,96, ,1,1,1,1,1,1,96,3,2,2,96,1,4,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,5,21, , ,5,2,4,2,14,1,9,5,4,3,8,2,1,1,3,1, , ,4,2, , , , ,2, , ,2003,1,200,2,1,5, ,1,21,.336859050021208
3364,11,11,69,2,6,8,5,4,2, , , , ,2,4,5,6,8, , , , ,6, ,5,2,4,6, , , , , ,4, ,1,9,6,8,1,3, , , , ,10,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,13,5,6,20,1,25,8,3,2,2,6,1, ,1, ,901, ,1, ,3, , , , ,1,2,3,4,5, , ,4, , , , , , , ,1, , , ,1,1,2,3,4,5,8, , , ,2,3, , , , , , , ,2, ,1, , , , , ,1, ,2, , , , , , ,2, , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,27,25,26,23,1,13, , , ,1,23, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,8, , , , , , , ,8, ,1, ,3, ,4, ,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,1,1,7,94,學校雇員,5,2,0,4,3,14,5,8,9,1,7,4,1, ,1,3,2, ,1,1,2, , , , ,1, , ,3006,3,300,2,1,7,5,1,94,.316534413229779
5714,10,2,71,2,1,4,2,8,5,6,3,9, ,1,3,4,5,6,8,9, , ,6, ,1, , , , , , , , ,1, ,1,9, , , , , , , , ,1,1,2, , , , , , , ,3,4, , , , , , , ,90, , , , , , , , ,2, , , , , , , , ,24,3,7,8,14,6,21,13,3,1,6,1, ,1, ,1001, ,1, ,2, ,2, ,999996,1,2,3,4, , , ,1, ,3, , , , , , , , , ,1,1,2,3,4,5,8, , , ,2,3,5,7, , , , , ,2, ,1, , , , , ,3, ,2,3, , , , , ,2,3, , , , , ,90, , , , , , , , , ,2, , , , ,1, , , ,1,1,27,26,10,7,24,13, , , ,7,10,24,26, , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,2,3,4,5,6,10,13,4, ,1, ,3, ,2, ,1,1,1,3,1,1,2,3,1,3,3,2,1,1,1,1,2,1,1,1,1,1,3,3,1,1,2,1,7,13, ,4,2,0,2,1,14,6,5,13,2,9,7,4,1, , ,2,2,1, ,1, , , ,1,2, , ,3004,3,100,2,2,7,4,1,13,.823646609389764
5831,10,12,79,2,6,3,10, , , , , , ,3,6,10, , , , , , ,6, ,1,3,6, , , , , , ,6, ,1,3,6,7, , , , , , ,8,1,1, , , , , , , ,1,5,7, , , , , , ,1,7, , , , , , , ,2, , , , , , , , ,2,26,3,1,21,13,27,24,3,3,6,1, ,1, ,9996, ,1, ,3, , , , ,1,3, , , , , ,1, ,5, , , , , , , , , ,1,1,2,3,5,6,7,8,11, ,1,2,3,4,5,6,7,8, ,2, ,1, , , , , ,2, ,3, , , , , , ,3, , , , , , ,1, , , , ,1, , , , ,1, , , , ,1, , , ,1,2,23,17,14,16,25,24,9, , ,23, , , , , , , , ,1,2, , , , , , , , ,94, , , , , , , ,工作轉帳。,500,1, , , ,2,1,3,4,6,7,8,9,10,8, ,98, ,98, ,98, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,6,17, ,7,4,0,4,5,14, , , , , , , , , , ,98, , , , , , , , ,2, , ,5005,2,400,2,1,6,7,2,17,1.03785650775824
5603,11,11,53,2,6, , , , , , , , ,90, , , , , , , , , , ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,25,6, , , , , ,96,98,98,1, ,1, ,901, ,3, ,96, , , , ,1, , , , , , ,1, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,4, , , , , ,96, ,98, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , ,96, ,96, ,96, ,96,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,4,20, , ,4,1,98,4, , , , , , , , , , ,96, , , , , , , , , , , , ,3007,4,300,2,96,4, ,1,20,.356868574191735
5206,4,4,76,2,6, , , , , , , , ,6, , , , , , , , ,6, ,96, , , , , , , , ,90, ,1,6, , , , , , , , ,996,1,96, , , , , , , ,4, , , , , , , , ,4, , , , , , , , ,1,2, ,96, , , , , ,13,18, , , , , , ,1,1,1,1, ,1, ,801, ,2, ,1, ,1,0, ,1, , , , , , ,1, ,1, , , , , , , , , ,1,5, , , , , , , , ,4, , , , , , , , ,96, ,2, , , , , ,96, ,90, , , , , , , , , , , , , ,94,1, , ,Youtube,1, , , , , , , , , ,2, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,94,浪費錢, ,1, , , , , , , ,1, ,1, ,9, ,2, ,3,3,4,4,3,4,3,4,3,3,2,1,1,3,2,2,1,2,2,1,2,2,3,2,3,3,2,1,7,17, ,4,4,1,4,4, , , , , , , , , , ,5, , , , , , , , , , , , ,3003,2,300,2,2,7,4,1,17,1.22526987543105
302,7,7,49,1,6, , , , , , , , ,6, , , , , , , , ,6, ,6, , , , , , , , ,6, ,1,3, , , , , , , , ,21,1,96, , , , , , , ,3, , , , , , , , ,3, , , , , , , , ,2, , , , , , , , ,25, , , , , , , ,1,6,6,1, ,1, ,1801, ,1, ,1, ,1,1200, ,1, , , , , , ,1, ,94,購物, , , , , , , , ,1,2, , , , , , , , ,5, , , , , , , , ,2, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,1, , , , ,90, , , , , , , , , ,1, , , ,1,1,25, , , , , , , , ,25, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,3, , , , , , , ,3, ,3, ,1, ,6, ,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,1,5,14, ,6,5,1,4,4, , , , , , , , , , ,5, , , , , , , , , , , , ,1011,5,600,1,2,5,6,1,14,.499759702392941
5917,13,13,50,2,6, , , , , , , , ,6, , , , , , , , ,6, ,96, , , , , , , , ,90, ,96, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,6, , , , , , ,2,2,2,1, ,1, ,9995, ,1, ,1, ,96,999996, ,1, , , , , , ,1, ,96, , , , , , , , , ,96, , , , , , , , , , , , , , , , , , ,96, ,96, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , ,96, ,96, ,96, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,2,2,2,2,1,7,20, , ,5,1,4,4, , , , , , , , , , ,5, , , , , , , , , , , , ,4004,5,400,2,2,7, ,1,20,1.01864141250746
3353,11,11,87,2,4, , , , , , , , ,4, , , , , , , , ,4, ,5, , , , , , , , ,5, ,1,3, , , , , , , , ,99,2, , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , ,96,96,1,96, ,1, ,901, ,96, ,3, , , , ,3, , , , , , ,3, , , , , ,3, , , , , ,1,5, , , , , , , , ,3, , , , , , , , ,1, ,1, , , , , ,1, ,1, , , , , , ,1, , , , , , ,1, , , , ,1, , , , , , , , , ,1, , , ,1,2,25, , , , , , , , ,25, , , , , , , , ,1,3, , , , , , , , ,11, , , , , , , , ,0,3, , , ,96,3, , , , , , , ,3, ,11, ,1, ,96, ,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,7,21, , ,4,0,2,4, , , , , , , , , , ,4, , , , , , , , , , , , ,3006,1,300,2,1,7, ,2,21,.264493846712133
5920,13,13,49,2,10, , , , , , , , ,90, , , , , , , , , , ,7, , , , , , , , ,90, ,1,6, , , , , , , , ,2,1,2, , , , , , , ,4, , , , , , , , ,90, , , , , , , , ,1,94,沒有時間,4, , , , , ,2, , , , , , , , , , ,90, ,12, ,1302, ,5, ,3, , , , ,4, , , , , , ,96, , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , ,96, ,90, , , , , ,3, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,96, ,2, ,4, ,3, ,96,98,96,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,98,20, , ,4,0,4,4, , , , , , , , , , ,4, , , , , , , , , , , , ,4004,5,400,2,2,96, ,1,20,1.01864141250746
2834,2,2,31,2,90, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , ,1, ,90, ,210, ,96, ,3, , , , ,90, , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,96, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,3, , , , , , , ,3, ,96, ,96, ,98, ,2,2,2,2,1,3,2,3,96,3,3,3,3,4,96,2,3,3,2,96,96,96,96,96,3,3,2,2,4,22, , ,4,0,4,4, , , , , , , , , , ,4, , , , , , , , , , , , ,1004,6,100,2,2,4, ,2,22,1.30255184295822
5918,13,13,39,2,6, , , , , , , , ,6, , , , , , , , ,6, ,6, , , , , , , , ,6, ,96, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , ,2,96,2,96, ,96, ,9995, ,96, ,96, , , , ,1, , , , , , ,1, ,1, , , , , , , , , ,96, , , , , , , , , , , , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , ,10, ,3, ,10, ,11, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,98,22, , ,4,0,4,4, , , , , , , , , , ,4, , , , , , , , , , , , ,4004,6,400,2,2,96, ,1,22,1.32300117861886
5919,13,13,39,2,1, , , , , , , , ,1, , , , , , , , ,1, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , ,1,1,1,96, ,96, ,9995, ,96, ,96, , , , ,96, , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , ,96, ,96, , , , , ,96, ,90, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, ,1, ,96, ,96, ,96,96,96,96,96,96,96,96,96,96,96,1,1,1,1,1,1,1,96,96,96,96,96,96,96,96,2,1,98,22, , ,4,0,4,4, , , , , , , , , , ,4, , , , , , , , , , , , ,4004,6,400,2,2,96, ,1,22,1.32300117861886
1302,8,6,89,1,4,9,1,6,2,10, , , ,1,2,4,6,9,10, , , ,6, ,5,6,2,4, , , , , ,6, ,1,8,9,2, , , , , , ,996,1,2,3,6, , , , , ,1,3,4, , , , , , ,3, , , , , , , , ,2, , , , , , , , ,6, , , , , , , ,1,1,1,1, ,1, ,601, ,1, ,1, ,1,999996, ,1,4,5, , , , ,1, ,4, , , , , , , , , ,1,2, , , , , , , , ,8, , , , , , , , ,3, ,1, , , , , ,1, ,1, , , , , , ,1, , , , , , ,1, , , , ,1, , , , , , , , , ,1, , , ,1,1,4,1,18, , , , , , ,18, , , , , , , , ,1,96, , , , , , , , ,12,4, , , , , , , ,999996,1, , , ,2,1, , , , , , , ,1, ,96, ,1, ,2, ,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,5,21, , ,4,1,1,4, , , , , , , , , , ,3, , , , , , , , , , , , ,2003,1,500,1,1,5, ,1,21,.884070666461335
2829,2,2,55,1,1,6,10, , , , , , ,1,6, , , , , , , ,6, ,6, , , , , , , , ,6, ,1,6, , , , , , , , ,14,2, , , , , , , , ,4, , , , , , , , ,96, , , , , , , , , , , , , , , , , ,6,2, , , , , , ,5,2,96,1, ,90, ,202, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,1, ,90, , , , , ,1, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,6,24,13,7, , , , , ,7, , , , , , , , ,1,5, , , , , , , , ,1, , , , , , , , ,1000,1, , , ,2,1,2,3, , , , , ,1, ,1, ,96, ,96, ,1,1,1,1,3,2,1,2,2,2,3,3,3,3,3,2,4,96,96,3,3,4,96,3,2,96,2,1,98,11, ,6,3,98,4,4, , , , , , , , , , ,3, , , , , , , , , , , , ,1004,4,100,1,2,96,6,1,11,.849051453181829
